nom,latitude,longitude,adresse
Studio J Bergerac,44.849763,0.484432,"18 Rue Neuve d'Argenson, Bergerac"
FLASH POLE DANCE,43.745076,4.206762,"15 Rue Du Puech, 30310 Vergèze"
Krazy Pole Studio,43.524754,-1.491171,"4 Rue Paul Biremont, Boucau"
Le pol'isson,47.471162,-0.551826,Angers
LE STUDIO PRIVÉ - Chambly 95 60. - Entre l’Oise et le Val d’oise,49.166048,2.30078,Bernes-sur-Oise
BLACK SUN STUDIO,43.490601,-1.388922,"130 All. du Four à Chaux, 64990 Lahonce"
Le Vortex Studio Aérien - Pole &amp; Cerceau,48.754403,2.506081,Boissy-Saint-Léger
Pole Position Marseille,43.305868,5.401809,13004 Marseille
La Bulle Aérienne Clisson,47.082268,-1.286656,"20 Cr des Marches de Bretagne, Clisson"
Studio UP IN THE AIR,44.550856,4.748318,"9 Avenue Jean Jaurès, 26200 Montélimar"
Skin Pole Dance studio,48.765475,2.058169,"30 Avenue Robert Surcouf, Voisins-le-Bretonneux"
Studio Zotia,45.344253,5.207738,"322 Impasse des Alpes, Marcilloles, France"
Studio Spin’n Flow,45.61372,5.271525,"44 Rue Pré-Tillon, 38300 Bourgoin-Jallieu"
Pole Dance Poitiers,46.539724,0.401926,"41 Rue des Artisans, Mignaloux-Beauvoir"
Majestic Studio,45.741532,3.198177,Cournon-d'Auvergne
Pole Dance Orléans,47.89335,1.916107,"15 Rue du Général de Gaulle, Saint-Jean-le-Blanc"
Studio Javanica - Pole Dance à Rouen,49.438933,1.097477,"33 Rue Alsace Lorraine, 76000 Rouen"
L’Aérial Studio,43.878385,5.835122,Volx
Cours de pole-dance,43.547114,3.987189,"150 Avenue Grassion Cibrand, Mauguio"
La Pole Buissonnière,42.937653,1.851472,Lavelanet
Pole Zen Studio école de Pole Dance Miribel,45.825332,4.956467,"1302 Grande Rue, Miribel"
Pole Dancing studio Porto Vecchio,41.60534,9.277343,"Avenue de Bastia, Porto-Vecchio"
Crescent Moon Studio,50.623252,3.144265,Villeneuve-d'Ascq
Mel'Aerial Pole Dance,46.757306,2.398532,"15 Rte de Lignieres, Farges-Allichamps"
ARENA POLE STUDIO,45.741873,3.08913,"13 Rue Enrico Fermi, 63540 Romagnat"
Pole And Dance Passion Bourges,47.083732,2.407494,"62 Rue Charlet, Bourges"
Studio Pole dance Libramont,49.91923,5.378243,"Libramont, Libramont-Chevigny, Belgique"
Studio Pole Dance The Pole Dream,43.537727,6.464993,Draguignan
Pole Dance ANDORRA,42.50705,1.520091,"Carrer Antic Carrer Major, 15, Andorre-la-Vieille, Andorre"
Momentum Studio,48.58499,7.744145,"7 Rue du Noyer, Strasbourg"
Pole dance Niort,46.301639,-0.494532,"18 Rue des Charmes, Bessines"
BETY POLE,48.856193,2.716324,Conches-sur-Gondoire
Vice vers'art,43.458611,2.004573,Revel
Around The Pole Rodez,44.37482,2.539494,"8 Rue des Charpentiers, Rodez"
Vertical fit - pole dance Angoulême,45.64695,0.170351,"171 Rue de Périgueux, Angoulême"
Leensquad mouries,43.693447,4.85474,"Route de Maussane, Mouriès"
Pole Dance Réunion Saint Pierre,-21.341016,55.469929,"79 Rue du Four à Chaux, Saint-Pierre 97410, La Réunion"
Pole Dance Réunion Saint Gilles,-21.051139,55.22553,"85 Rue du General de Gaulle, Saint-Gilles les Bains, Saint-Paul, La Réunion"
Pole &amp; The Gang,43.293276,5.373751,"3 Rue Fortia, Marseille"
POLEMIC STUDIO,47.393527,0.745198,"19 Rue de la Morinerie, Saint-Pierre-des-Corps"
Dancing Color'S,47.790629,-3.27578,"16 Rue de la Villeneuve du Parco, Hennebont"
Pole and Dance Paris 13,48.825611,2.369681,"54 Rue du Château des Rentiers, 75013 Paris"
Pole and Dance Paris 10,48.87284,2.371136,"208 Rue Saint-Maur, 75010 Paris"
Pole &amp; Motion,48.880552,2.418881,"44 Rue de Paris, Les Lilas"
L'atelier Aérien,45.810307,1.266404,"32 Rue de Tourcoing, 87000 Limoges"
Studio de pole dance Pole Sweet Pole,43.183824,2.939291,"232 Avenue de Louate, Montredon-des-Corbières"
Studio Pole Dance 85,46.730689,-1.434433,"9 Rue du Moulin des Oranges, Le Poiré-sur-Vie"
Pole dance cours collectifs,49.145922,0.227849,Lisieux
Psyché studio,49.448056,1.09791,"64 Boulevard de l'Yser, Rouen"
Urban Shape,46.212488,6.137487,"Rue du Grand-Pré 9, Geneva, Switzerland"
Pole and flow,43.782628,4.081562,"25 Rue de la Chaudiere, 30250 Sommières"
Acropole Lyon,45.74997,4.831225,"45 Quai du Docteur Gailleton, 69002 Lyon"
Pole dance Blagnac,43.655027,1.369149,"10 Avenue d'Andromède, Blagnac"
Enjoy pole dance (chez sportons nous bien),50.694472,1.592795,20 chemin des vingt mesures 62230 Outreau
POLESSENTIEL,50.623176,5.15535,"Rue de la Rue 4, Braives, Belgique"
A-L' Pole Dance &amp; Co,45.667273,-0.941934,"Allée de la Pointe, Saujon"
Ecole de pole dance et d'aériens à Lille,50.636223,3.097581,"58 Rue des Montagnards, Lille"
Pole Expression,47.558628,7.507415,Buschwiller
Ecole de pole dance et d'aériens à Lille,50.62127,3.074062,"50 Rue Jean Jaurès, Lille"
Ananta Studio,42.703429,3.020562,"23 Av. Guy Drut, Canet-en-Roussillon"
Poleness Factory,48.684847,2.330227,"4 Place Beaumarchais, 91600 Savigny-sur-Orge"
Ecole de Cirque - Home Patoche Compagnie,45.349297,4.820974,"50 Rue de la Rebatière, Salaise-sur-Sanne"
Pole dance Dordogne,45.185491,0.713424,"8 Rue Thiers, 24000 Périgueux"
Verticale Zone,46.396778,6.507488,"5 Rue de champerges, Thonon-les-Bains"
Entre Filles Danse Pole Aérien,45.242908,4.671977,"32 Rue Sadi Carnot, Annonay"
Flying pole dance,43.265011,6.551454,"501 Avenue de l'Héliport, Grimaud"
Pole Dance Marseille,43.292282,5.372977,"35 Rue de la Paix Marcel Paul, Marseille"
Pollux Pole Dance Studio,43.194413,-0.605292,Oloron-Sainte-Marie
Miss-Pole Toulouse,43.605498,1.445789,"36 Rue d'Alsace Lorraine, 31000 Toulouse"
Pole dance Reims,49.216752,4.074581,"4 Rue Bernard Palissy, Taissy"
Pole Game Metz,49.077836,6.183941,"4 Rue de Pouilly, Metz"
Pole Dance Troyes,48.28727,4.066686,"26 Rue Jules Didier, Saint-André-les-Vergers"
